"arc_length","Figure 17","Figure 18","Figure 19"
0.2034,0.372549,0.0434392,0.442187
0.2037,0.37193,0.0433852,0.441881
0.204,0.371312,0.0433313,0.441575
0.2043,0.370694,0.0432773,0.44127
0.2046,0.370075,0.0432234,0.440964
0.2049,0.369457,0.0431694,0.440658
0.2052,0.368861,0.0431181,0.440357
0.2055,0.368276,0.0430681,0.440058
0.2058,0.367692,0.0430181,0.439758
0.2061,0.367107,0.0429681,0.439459
0.2064,0.366523,0.0429182,0.43916
0.2067,0.365938,0.0428682,0.438861
0.207,0.365353,0.0428182,0.438562
0.2073,0.364769,0.0427682,0.438263
0.2076,0.364184,0.0427182,0.437963
0.2079,0.3636,0.0426682,0.437664
0.2082,0.363015,0.0426183,0.437365
0.2085,0.36243,0.0425683,0.437066
0.2088,0.361846,0.0425183,0.436767
0.2091,0.361261,0.0424683,0.436468
0.2094,0.360676,0.0424183,0.436168
0.2097,0.360092,0.0423683,0.435869
0.21,0.359507,0.0423183,0.43557
0.2103,0.358959,0.0422721,0.435278
0.2106,0.358411,0.0422259,0.434987
0.2109,0.357862,0.0421797,0.434695
0.2112,0.357314,0.0421335,0.434403
0.2115,0.356766,0.0420872,0.434111
0.2118,0.356218,0.042041,0.43382
0.2121,0.355669,0.0419948,0.433528
0.2124,0.355121,0.0419486,0.433236
0.2127,0.354573,0.0419024,0.432945
0.213,0.354025,0.0418561,0.432653
0.2133,0.353476,0.0418099,0.432361
0.2136,0.352928,0.0417637,0.43207
0.2139,0.35238,0.0417175,0.431778
0.2142,0.351832,0.0416713,0.431486
0.2145,0.351283,0.041625,0.431194
0.2148,0.350735,0.0415788,0.430903
0.2151,0.3502,0.0415338,0.430614
0.2154,0.34969,0.0414911,0.430331
0.2157,0.349179,0.0414485,0.430047
0.216,0.348669,0.0414058,0.429764
0.2163,0.348159,0.0413632,0.429481
0.2166,0.347649,0.0413205,0.429198
0.2169,0.347139,0.0412779,0.428915
0.2172,0.346628,0.0412352,0.428631
0.2175,0.346118,0.0411926,0.428348
0.2178,0.345608,0.04115,0.428065
0.2181,0.345098,0.0411073,0.427782
0.2184,0.344588,0.0410647,0.427499
0.2187,0.344078,0.041022,0.427215
0.219,0.343567,0.0409794,0.426932
0.2193,0.343057,0.0409367,0.426649
0.2196,0.342547,0.0408941,0.426366
0.2199,0.342037,0.0408514,0.426083
0.2202,0.341553,0.040811,0.425806
0.2205,0.341081,0.0407718,0.425532
0.2208,0.34061,0.0407326,0.425259
0.2211,0.340139,0.0406933,0.424985
0.2214,0.339667,0.0406541,0.424711
0.2217,0.339196,0.0406148,0.424438
0.222,0.338725,0.0405756,0.424164
0.2223,0.338253,0.0405363,0.423891
0.2226,0.337782,0.0404971,0.423617
0.2229,0.337311,0.0404579,0.423343
0.2232,0.336839,0.0404186,0.42307
0.2235,0.336368,0.0403794,0.422796
0.2238,0.335897,0.0403401,0.422523
0.2241,0.335425,0.0403009,0.422249
0.2244,0.334954,0.0402617,0.421975
0.2247,0.334483,0.0402224,0.421702
0.225,0.334011,0.0401832,0.421428
0.2253,0.333579,0.0401472,0.421165
0.2256,0.333146,0.0401112,0.420902
0.2259,0.332714,0.0400752,0.42064
0.2262,0.332281,0.0400392,0.420377
0.2265,0.331848,0.0400032,0.420114
0.2268,0.331416,0.0399672,0.419851
0.2271,0.330983,0.0399313,0.419588
0.2274,0.330551,0.0398953,0.419325
0.2277,0.330118,0.0398593,0.419062
0.228,0.329686,0.0398233,0.418799
0.2283,0.329253,0.0397873,0.418536
0.2286,0.328821,0.0397513,0.418273
0.2289,0.328388,0.0397153,0.41801
0.2292,0.327955,0.0396793,0.417748
0.2295,0.327523,0.0396434,0.417485
0.2298,0.32709,0.0396074,0.417222
0.2301,0.326671,0.0395724,0.416963
0.2304,0.326276,0.0395395,0.416712
0.2307,0.325882,0.0395067,0.416461
0.231,0.325487,0.0394738,0.41621
0.2313,0.325093,0.0394409,0.415959
0.2316,0.324699,0.039408,0.415708
0.2319,0.324304,0.0393752,0.415457
0.2322,0.32391,0.0393423,0.415206
0.2325,0.323515,0.0393094,0.414954
0.2328,0.323121,0.0392765,0.414703
0.2331,0.322727,0.0392437,0.414452
0.2334,0.322332,0.0392108,0.414201
0.2337,0.321938,0.0391779,0.41395
0.234,0.321543,0.039145,0.413699
0.2343,0.321149,0.0391122,0.413448
0.2346,0.320755,0.0390793,0.413197
0.2349,0.32036,0.0390464,0.412946
0.2352,0.319991,0.0390155,0.412704
0.2355,0.319633,0.0389856,0.412466
0.2358,0.319276,0.0389558,0.412228
0.2361,0.318919,0.0389259,0.41199
0.2364,0.318562,0.038896,0.411752
0.2367,0.318204,0.0388661,0.411514
0.237,0.317847,0.0388362,0.411276
0.2373,0.31749,0.0388063,0.411038
0.2376,0.317133,0.0387764,0.4108
0.2379,0.316776,0.0387466,0.410563
0.2382,0.316418,0.0387167,0.410325
0.2385,0.316061,0.0386868,0.410087
0.2388,0.315704,0.0386569,0.409849
0.2391,0.315347,0.038627,0.409611
0.2394,0.314989,0.0385971,0.409373
0.2397,0.314632,0.0385673,0.409135
0.24,0.314275,0.0385374,0.408897
0.2403,0.313954,0.0385104,0.408673
0.2406,0.313632,0.0384834,0.40845
0.2409,0.313311,0.0384563,0.408226
0.2412,0.312989,0.0384293,0.408002
0.2415,0.312668,0.0384023,0.407779
0.2418,0.312347,0.0383753,0.407555
0.2421,0.312025,0.0383483,0.407332
0.2424,0.311704,0.0383213,0.407108
0.2427,0.311383,0.0382943,0.406884
0.243,0.311061,0.0382673,0.406661
0.2433,0.31074,0.0382403,0.406437
0.2436,0.310418,0.0382133,0.406213
0.2439,0.310097,0.0381863,0.40599
0.2442,0.309776,0.0381593,0.405766
0.2445,0.309454,0.0381322,0.405542
0.2448,0.309133,0.0381052,0.405319
0.2451,0.308823,0.0380791,0.4051
0.2454,0.308536,0.0380549,0.404892
0.2457,0.308249,0.0380307,0.404684
0.246,0.307962,0.0380064,0.404476
0.2463,0.307675,0.0379822,0.404268
0.2466,0.307388,0.037958,0.40406
0.2469,0.307101,0.0379337,0.403852
0.2472,0.306814,0.0379095,0.403643
0.2475,0.306527,0.0378852,0.403435
0.2478,0.30624,0.037861,0.403227
0.2481,0.305953,0.0378368,0.403019
0.2484,0.305666,0.0378125,0.402811
0.2487,0.305379,0.0377883,0.402603
0.249,0.305092,0.0377641,0.402395
0.2493,0.304805,0.0377398,0.402186
0.2496,0.304518,0.0377156,0.401978
0.2499,0.304231,0.0376914,0.40177
0.2502,0.303966,0.0376689,0.401573
0.2505,0.303712,0.0376473,0.401382
0.2508,0.303458,0.0376258,0.40119
0.2511,0.303204,0.0376042,0.400999
0.2514,0.30295,0.0375827,0.400807
0.2517,0.302696,0.0375611,0.400616
0.252,0.302442,0.0375396,0.400424
0.2523,0.302188,0.037518,0.400233
0.2526,0.301934,0.0374964,0.400041
0.2529,0.30168,0.0374749,0.39985
0.2532,0.301426,0.0374533,0.399658
0.2535,0.301172,0.0374318,0.399467
0.2538,0.300918,0.0374102,0.399275
0.2541,0.300664,0.0373886,0.399084
0.2544,0.30041,0.0373671,0.398892
0.2547,0.300156,0.0373455,0.398701
0.255,0.299902,0.037324,0.398509
0.2553,0.29968,0.037305,0.398335
0.2556,0.299457,0.037286,0.398162
0.2559,0.299235,0.0372671,0.397988
0.2562,0.299012,0.0372481,0.397814
0.2565,0.29879,0.0372291,0.39764
0.2568,0.298568,0.0372102,0.397467
0.2571,0.298345,0.0371912,0.397293
0.2574,0.298123,0.0371722,0.397119
0.2577,0.2979,0.0371533,0.396945
0.258,0.297678,0.0371343,0.396771
0.2583,0.297455,0.0371153,0.396598
0.2586,0.297233,0.0370964,0.396424
0.2589,0.29701,0.0370774,0.39625
0.2592,0.296788,0.0370584,0.396076
0.2595,0.296566,0.0370395,0.395902
0.2598,0.296343,0.0370205,0.395729
0.2601,0.296131,0.0370024,0.395561
0.2604,0.295938,0.0369859,0.395406
0.2607,0.295746,0.0369694,0.395251
0.261,0.295554,0.036953,0.395096
0.2613,0.295362,0.0369365,0.394941
0.2616,0.295169,0.0369201,0.394786
0.2619,0.294977,0.0369036,0.394631
0.2622,0.294785,0.0368871,0.394475
0.2625,0.294593,0.0368707,0.39432
0.2628,0.2944,0.0368542,0.394165
0.2631,0.294208,0.0368378,0.39401
0.2634,0.294016,0.0368213,0.393855
0.2637,0.293824,0.0368049,0.3937
0.264,0.293631,0.0367884,0.393545
0.2643,0.293439,0.0367719,0.39339
0.2646,0.293247,0.0367555,0.393235
0.2649,0.293055,0.036739,0.39308
0.2652,0.292882,0.0367242,0.392938
0.2655,0.292718,0.0367101,0.392802
0.2658,0.292555,0.0366961,0.392667
0.2661,0.292392,0.0366821,0.392531
0.2664,0.292228,0.0366681,0.392395
0.2667,0.292065,0.036654,0.39226
0.267,0.291902,0.03664,0.392124
0.2673,0.291738,0.036626,0.391989
0.2676,0.291575,0.036612,0.391853
0.2679,0.291412,0.0365979,0.391718
0.2682,0.291248,0.0365839,0.391582
0.2685,0.291085,0.0365699,0.391447
0.2688,0.290922,0.0365559,0.391311
0.2691,0.290758,0.0365418,0.391175
0.2694,0.290595,0.0365278,0.39104
0.2697,0.290432,0.0365138,0.390904
0.27,0.290269,0.0364997,0.390769
0.2703,0.290133,0.0364881,0.390653
0.2706,0.289997,0.0364764,0.390538
0.2709,0.289862,0.0364648,0.390423
0.2712,0.289726,0.0364531,0.390307
0.2715,0.289591,0.0364414,0.390192
0.2718,0.289455,0.0364298,0.390077
0.2721,0.28932,0.0364181,0.389961
0.2724,0.289184,0.0364064,0.389846
0.2727,0.289049,0.0363948,0.389731
0.273,0.288913,0.0363831,0.389615
0.2733,0.288777,0.0363714,0.3895
0.2736,0.288642,0.0363598,0.389385
0.2739,0.288506,0.0363481,0.389269
0.2742,0.288371,0.0363364,0.389154
0.2745,0.288235,0.0363248,0.389039
0.2748,0.2881,0.0363131,0.388923
0.2751,0.287973,0.0363022,0.388815
0.2754,0.287864,0.0362928,0.38872
0.2757,0.287755,0.0362834,0.388626
0.276,0.287646,0.0362741,0.388531
0.2763,0.287538,0.0362647,0.388436
0.2766,0.287429,0.0362553,0.388342
0.2769,0.28732,0.0362459,0.388247
0.2772,0.287211,0.0362366,0.388152
0.2775,0.287102,0.0362272,0.388058
0.2778,0.286993,0.0362178,0.387963
0.2781,0.286884,0.0362084,0.387869
0.2784,0.286776,0.0361991,0.387774
0.2787,0.286667,0.0361897,0.387679
0.279,0.286558,0.0361803,0.387585
0.2793,0.286449,0.0361709,0.38749
0.2796,0.28634,0.0361616,0.387396
0.2799,0.286231,0.0361522,0.387301
0.2802,0.28614,0.0361443,0.38722
0.2805,0.286056,0.0361371,0.387147
0.2808,0.285973,0.03613,0.387073
0.2811,0.28589,0.0361228,0.387
0.2814,0.285807,0.0361157,0.386926
0.2817,0.285724,0.0361085,0.386853
0.282,0.285641,0.0361014,0.386779
0.2823,0.285557,0.0360942,0.386706
0.2826,0.285474,0.036087,0.386632
0.2829,0.285391,0.0360799,0.386559
0.2832,0.285308,0.0360727,0.386485
0.2835,0.285225,0.0360656,0.386412
0.2838,0.285141,0.0360584,0.386338
0.2841,0.285058,0.0360512,0.386265
0.2844,0.284975,0.0360441,0.386191
0.2847,0.284892,0.0360369,0.386118
0.285,0.284809,0.0360298,0.386044
0.2853,0.28475,0.0360248,0.385992
0.2856,0.284692,0.0360197,0.385939
0.2859,0.284634,0.0360147,0.385887
0.2862,0.284575,0.0360097,0.385835
0.2865,0.284517,0.0360047,0.385782
0.2868,0.284458,0.0359997,0.38573
0.2871,0.2844,0.0359947,0.385678
0.2874,0.284342,0.0359896,0.385625
0.2877,0.284283,0.0359846,0.385573
0.288,0.284225,0.0359796,0.385521
0.2883,0.284166,0.0359746,0.385468
0.2886,0.284108,0.0359696,0.385416
0.2889,0.28405,0.0359646,0.385364
0.2892,0.283991,0.0359595,0.385312
0.2895,0.283933,0.0359545,0.385259
0.2898,0.283874,0.0359495,0.385207
0.2901,0.283824,0.0359452,0.385162
0.2904,0.28379,0.0359422,0.38513
0.2907,0.283755,0.0359393,0.385099
0.291,0.283721,0.0359363,0.385068
0.2913,0.283686,0.0359334,0.385037
0.2916,0.283652,0.0359304,0.385006
0.2919,0.283617,0.0359275,0.384975
0.2922,0.283583,0.0359245,0.384943
0.2925,0.283548,0.0359216,0.384912
0.2928,0.283514,0.0359186,0.384881
0.2931,0.283479,0.0359157,0.38485
0.2934,0.283445,0.0359127,0.384819
0.2937,0.283411,0.0359098,0.384787
0.294,0.283376,0.0359068,0.384756
0.2943,0.283342,0.0359039,0.384725
0.2946,0.283307,0.0359009,0.384694
0.2949,0.283273,0.035898,0.384663
0.2952,0.283254,0.0358964,0.384645
0.2955,0.283242,0.0358954,0.384635
0.2958,0.283231,0.0358944,0.384625
0.2961,0.28322,0.0358934,0.384614
0.2964,0.283208,0.0358925,0.384604
0.2967,0.283197,0.0358915,0.384594
0.297,0.283186,0.0358905,0.384583
0.2973,0.283174,0.0358896,0.384573
0.2976,0.283163,0.0358886,0.384563
0.2979,0.283151,0.0358876,0.384552
0.2982,0.28314,0.0358867,0.384542
0.2985,0.283129,0.0358857,0.384532
0.2988,0.283117,0.0358847,0.384521
0.2991,0.283106,0.0358838,0.384511
0.2994,0.283095,0.0358828,0.384501
0.2997,0.283083,0.0358818,0.38449
0.3,0.283072,0.0358808,0.38448
